date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 1 night in January 2015,Couple,"Reviewed September 21, 2016",Nice and clean,Nice and clean”,sopangna from Cambodia
Stayed 2 nights in June 2015,Couple,"Reviewed September 21, 2016",Nice and clean,Nice and clean”,sopangna from Cambodia
Stayed 3 nights in June 2015,Couple,"Reviewed September 21, 2016",Nice and clean,Nice and clean”,sopangna from Cambodia
Stayed 3 nights in June 2015,Couple,"Reviewed September 21, 2016",Nice and clean,Nice and clean”,sopangna from Cambodia
Stayed 2 nights in July 2015,Couple,"Reviewed September 21, 2016",Nice and clean,Nice and clean”,sopangna from Cambodia
Stayed 2 nights in July 2015,Couple,"Reviewed September 21, 2016",Nice and clean,Nice and clean”,sopangna from Cambodia
Stayed 2 nights in August 2015,Business traveler,"Reviewed September 21, 2016",Nice and clean,Nice and clean”,sopangna from Cambodia
Stayed 1 night in February 2016,Couple,"Reviewed September 21, 2016",Good location,Good location”,sopangna from Cambodia
Stayed 1 night in February 2016,Couple,"Reviewed September 21, 2016",Good location ,Good location ”,sopangna from Cambodia
Stayed 1 night in September 2016,Business traveler,"Reviewed September 18, 2016",Easy walk away to shopping centre,Good location ”,WAN from Malaysia
Stayed 3 nights in September 2016,Family with teens,"Reviewed September 17, 2016",great location and convenient for shopping and some add on facility i.e.free unlimited  mobile phone to use.  ,great location and convenient for shopping ”,jimmy from Malaysia
Stayed 2 nights in September 2016,Family with young children,"Reviewed September 16, 2016",There was long line to check in,Great location and great food”,Eva from Indonesia
Stayed 4 nights in August 2016,Couple,"Reviewed September 06, 2016",Overall is good,Good location”,UN from Macau
Stayed 3 nights in August 2016,Couple,"Reviewed August 30, 2016",bad water pressure when showering and toilet bowl very hard to flush,"good location, good rooms but some areas need improvement”",Binsar from Indonesia
Stayed 4 nights in August 2016,Couple,"Reviewed August 20, 2016",Nothing special in here.....,Standard Hotel”,Sri from Indonesia
Stayed 2 nights in November 2015,Solo traveler,"Reviewed August 03, 2016",It's just a standard hotel. Nothing special. Only the location is on Orchard Road.,Nothing Special”,Sri from Indonesia
Stayed 2 nights in July 2016,Business traveler,"Reviewed August 01, 2016",breakfast not so good,can accept”,sokha from Cambodia
Stayed 2 nights in July 2016,Couple,"Reviewed July 31, 2016","there is 2 tower, orchard tower and Main tower, better book Main tower with modern interior",Good Location”,agus from Indonesia
Stayed 4 nights in July 2016,Couple,"Reviewed July 31, 2016",Good location,Great”,UN from Macau
Stayed 2 nights in July 2016,Couple,"Reviewed July 31, 2016",Toiletries were poor quality. Looks like been used already. All items in the room were very old and dusted. ,Mandarin Orchard Singapore- cleanliness very poor”,FITRIA from Indonesia
Stayed 2 nights in July 2016,Family with young children,"Reviewed July 27, 2016",B/ F is ok.,Good location”,HENDRIK from Indonesia
Stayed 4 nights in June 2016,Couple,"Reviewed July 26, 2016",Great place and shopping all around,Short Trip”,Jonathan from Brunei Darussalam
Stayed 2 nights in July 2016,Family with young children,"Reviewed July 25, 2016","Room smaller than others same level hotels
Services not as good as others same level hotel",Price too high...facilities not as complete as others same level hotel”,Soniviel from Indonesia
Stayed 3 nights in February 2016,Couple,"Reviewed July 21, 2016","Great view, convenient location, helpful staff.",Clean & Comfortable Stay”,ROSALINA from Philippines
Stayed 2 nights in July 2016,Business traveler,"Reviewed July 20, 2016",Good  location. clean and comfortable ,Good location”,Siew from Malaysia
Stayed 1 night in July 2016,Family with young children,"Reviewed July 17, 2016",Bed drap was dirty ,Bed drap was dirty ”,NU from Vietnam
Stayed 1 night in June 2016,Family with young children,"Reviewed July 10, 2016",Good service ,Location ”,Budi from Indonesia
Stayed 1 night in June 2016,Business traveler,"Reviewed July 08, 2016","it's in the heart of Orchard road. cannot go wrong with this hotel for location. However it is pretty old so nothing fantastic about it but if you just need a place to shower and sleep, it is super",good location”,Melissa from Singapore
Stayed 1 night in June 2016,Solo traveler,"Reviewed July 02, 2016",Good to stay ,Good to stay”,LAY from Malaysia
Stayed 1 night in June 2016,Business traveler,"Reviewed June 29, 2016",OK for business trip,Good location and cleanliness”,grace from Indonesia
Stayed 3 nights in October 2015,Family with young children,"Reviewed June 24, 2016",Location is awesome,Very strategic”,Tovino from Indonesia
Stayed 4 nights in June 2016,Business traveler,"Reviewed June 13, 2016",Nothing Special with this 5 stars hotel. You pay only for the location. that's it,Standard”,Sri from Indonesia
Stayed 1 night in June 2016,Group,"Reviewed June 11, 2016"," Location is central, at the heart of Orchard Road.Very strategic location. Right beside Takashimaya. Rooms are a bit old and musty smell when we step into the hotel room however it was well kept.",Location is central”,Lay from Malaysia
Stayed 1 night in May 2016,Couple,"Reviewed June 07, 2016",Good breakfast and very good location,Very good location”,Sri from Germany
Stayed 1 night in May 2016,Business traveler,"Reviewed June 02, 2016",staff not really helpfull..at the checkin counter and the breakfast was below average,will not stay here again”,Inderr from India
Stayed 2 nights in March 2016,Business traveler,"Reviewed June 01, 2016","Cool and clean room, close to Orchard malls and foods.",Just like home”,STELLA from Indonesia
Stayed 3 nights in May 2016,Couple,"Reviewed May 31, 2016","location location location..
Mandarin orchard just situated heart of the Singapore..
very convenient for me to walk and shop around..
room bit tired and the water pressure very low while taking show.",Mandarin orchard”,KOK from Malaysia
Stayed 1 night in December 2015,Couple,"Reviewed May 26, 2016",good location,good location ”,khusol from Thailand
Stayed 2 nights in May 2016,Group,"Reviewed May 23, 2016",They forced us to checkout at 11am but we only got our room at 3pm instead of 2pm. Terrible!!!,Great location”,Thy from Austria
Stayed 1 night in May 2016,Business traveler,"Reviewed May 22, 2016",The Carpet of the room putrid...very bad..,Putrid of the room”,KOK from Malaysia
Stayed 3 nights in May 2016,Business traveler,"Reviewed May 17, 2016",2nd time to book this hotel. excellent location and good breakfast....,good”,John from Philippines
Stayed 1 night in April 2016,Couple,"Reviewed May 15, 2016",Nice central location in the heart of OrchardRoad. ,Staycation”,Lee from Singapore
Stayed 3 nights in May 2016,Family with teens,"Reviewed May 13, 2016",Good,Good”,Edward from Indonesia
Stayed 2 nights in April 2016,Business traveler,"Reviewed April 29, 2016","Bad dirty, filthy hotel",Bad Dirty Filthy Hotel Only 1or2 star it ok”,Nedkanok from Thailand
Stayed 1 night in April 2016,Couple,"Reviewed April 25, 2016","Strategic location, clean but a bit run down.","Strategic location, clean but a bit run down.”",Hong from Malaysia
Stayed 2 nights in April 2016,Family with young children,"Reviewed April 24, 2016",Family room is very good for family with young children ,Andreas ”,Andreas from Indonesia
Stayed 2 nights in April 2016,Business traveler,"Reviewed April 20, 2016",This hotel is very strategic for both business and shopping trip.  ,Great location”,MAY from Malaysia
Stayed 2 nights in August 2015,Couple,"Reviewed April 19, 2016",the reception not work so friendly,good location but bad service”,Nakrit from Thailand
Stayed 2 nights in March 2016,Business traveler,"Reviewed April 03, 2016","Located right in the heart of orchard.
Shoping are endless here",good Location”,Hasan from Indonesia
Stayed 2 nights in March 2016,Business traveler,"Reviewed April 03, 2016","Excellent location
Good Food are just walk away .",orchard ”,Hasan from Indonesia
Stayed 1 night in March 2016,Business traveler,"Reviewed April 03, 2016","Right at the heart of orchard road
Bustling and alive",shopping”,Hasan from Indonesia
Stayed 2 nights in February 2016,Solo traveler,"Reviewed March 31, 2016",,LOCATION”,MOHAMMAD from Bangladesh
Stayed 2 nights in January 2016,Family with young children,"Reviewed March 27, 2016",Good location hotel.. Clean rooms,Good hotel ”,Romi from Indonesia
Stayed 4 nights in July 2015,Business traveler,"Reviewed March 27, 2016",Good hotel with great location.. ,Clean rooms with good location ”,Romi from Indonesia
Stayed 1 night in March 2016,Business traveler,"Reviewed March 15, 2016",good location and great,very good relaxation hotel”,FOO from Malaysia
Stayed 1 night in March 2016,Business traveler,"Reviewed March 15, 2016",,LOCATION HOTEL”,WAN from Malaysia
Stayed 2 nights in March 2016,Couple,"Reviewed March 07, 2016","The best part of the hotel is the location.

However, the room aircon is not that cool and very noisy during night time.  I think is from the retail shop air con compressor.",Great location but room is noisy”,Nyuk from Brunei Darussalam
Stayed 2 nights in March 2016,Solo traveler,"Reviewed March 06, 2016",Staff,location”,TAN from Malaysia
Stayed 2 nights in February 2016,Couple,"Reviewed March 06, 2016",ok,ok”,Erik from Indonesia
Stayed 2 nights in February 2016,Family with young children,"Reviewed February 29, 2016",good location for shopping,good location for shopping”,Porjai from Thailand
Stayed 3 nights in February 2016,Couple,"Reviewed February 29, 2016",Location was great,"Swimming Pool and toilet was small, others are good”",Vu from Vietnam
Stayed 1 night in February 2016,Couple,"Reviewed February 21, 2016",Satisfactory,Satisfactory”,PRANOT from Thailand
Stayed 3 nights in February 2016,Solo traveler,"Reviewed February 20, 2016",Bored,My Review”,Sri from Indonesia
Stayed 1 night in October 2015,Business traveler,"Reviewed February 11, 2016",good good good,good good good”,Khun from Cambodia
Stayed 2 nights in January 2016,Couple,"Reviewed February 11, 2016",good good good,good good good”,Khun from Cambodia
Stayed 1 night in February 2016,Business traveler,"Reviewed February 06, 2016",Good for shopping ,Great location ”,BOON from Malaysia
Stayed 2 nights in January 2016,Couple,"Reviewed January 31, 2016",Nice place to stay,Location & Comfort”,Wai from Malaysia
Stayed 2 nights in January 2016,Business traveler,"Reviewed January 28, 2016",room was clean and comfy. but too small for this type of price. strategic location. very convenient. ,"good location, great staffs, small room”",April from Malaysia
Stayed 4 nights in January 2016,Family with young children,"Reviewed January 19, 2016","
Too Busy and crowded often during rush hour. However the location is ideal. ",Great Location”,Erick from Indonesia
Stayed 4 nights in January 2016,Couple,"Reviewed January 17, 2016","Room is clean ,comfortable, but a bit old, like bathroom tap is not functioning well and some petty petty things.",Very good”,lisa from Malaysia
Stayed 2 nights in July 2015,Group,"Reviewed January 13, 2016",average stay at this hotel. service was a one star for a supposedly five star hotel,Overated hotel”,Koh from Malaysia
Stayed 3 nights in January 2016,Couple,"Reviewed January 12, 2016",ok,ok”,Erik from Indonesia
Stayed 1 night in December 2015,Business traveler,"Reviewed January 11, 2016",,hotel”,duke from Indonesia
Stayed 1 night in December 2015,Business traveler,"Reviewed January 11, 2016",,Hotel”,duke from Indonesia
Stayed 4 nights in January 2016,Couple,"Reviewed January 11, 2016",very relaxing and convenient place surrounded by shopping.,excellent hotel”,FOO from Malaysia
Stayed 3 nights in July 2015,Business traveler,"Reviewed January 04, 2016",,Good”,Sai from Myanmar
Stayed 2 nights in December 2015,Family with young children,"Reviewed January 02, 2016",Nice,Good”,Liny from Laos
Stayed 4 nights in December 2015,Family with young children,"Reviewed December 31, 2015",This is not my first time stay here. And of course not the last time. Location at the hotel was great at the central of orchad road. ,Very good location”,Bambang from Indonesia
Stayed 1 night in December 2015,Couple,"Reviewed December 24, 2015",Best place to stay,Location near shopping center”,Selvy from Indonesia
Stayed 1 night in December 2015,Family with young children,"Reviewed December 21, 2015","UNSATISFACTORY. BED IS TOO HARD. LIVE & DEAD ANTS CAN BE SEEN ON THE BED COVER.
CARPET IS DIRTY N DUSTY. TOILET UNIMPRESSIVE.
",DISAPPOINTMENT”,JENNY from Singapore
Stayed 4 nights in December 2015,Family with young children,"Reviewed December 18, 2015",I am indeed very please and happy during my stay in Mandarin Hotel. ,Best hotel In Orchard Road”,Kunandar from Indonesia
Stayed 2 nights in November 2015,Business traveler,"Reviewed December 06, 2015",should renovate the room. bit old.,Average”,Ter from Malaysia
Stayed 3 nights in November 2015,Business traveler,"Reviewed November 30, 2015",,Mandarin Orchard Singapore”,Law from Hong Kong
Stayed 1 night in November 2015,Group,"Reviewed November 22, 2015",As usually,Mandarin Orchard”,Sri from Indonesia
Stayed 4 nights in September 2015,Couple,"Reviewed November 15, 2015",,Great location for shopping trip”,Chi from Vietnam
Stayed 1 night in May 2015,Business traveler,"Reviewed November 14, 2015",Was a good stay. ,Convenient location”,Ming from Malaysia
Stayed 3 nights in October 2015,Business traveler,"Reviewed November 11, 2015",Good hotel with near amenities. ,Good hotel in central shopping centre”,Frederik from Indonesia
Stayed 3 nights in June 2015,Couple,"Reviewed November 09, 2015",good location,nice”,Liny from Laos
Stayed 3 nights in December 2014,Family with teens,"Reviewed November 02, 2015",SATISFACTORY,GREAT LOCATION”,TIONG from Malaysia
Stayed 3 nights in October 2015,Business traveler,"Reviewed October 31, 2015",all is good except room is bad smelling.,"Good Location, big room but bad smelling.”",naparat from Thailand
Stayed 4 nights in October 2015,Business traveler,"Reviewed October 26, 2015",Ok,a great location without a soul”,Justin from Australia
Stayed 1 night in October 2015,Business traveler,"Reviewed October 25, 2015",it's good for business travle but the price is expensive little,nothing”,INSIK from South Korea
Stayed 1 night in October 2015,Business traveler,"Reviewed October 25, 2015",,Good as normal”,Jarunate from Thailand
Stayed 3 nights in October 2015,Family with young children,"Reviewed October 09, 2015",The floor carpet at level 15 was rather smelly and misty.,Holidays in Singapore”,Chieng from Cambodia
Stayed 2 nights in October 2015,Business traveler,"Reviewed October 08, 2015",good,"good location , nice room”",zaneth from Cambodia
Stayed 5 nights in July 2015,Couple,"Reviewed October 07, 2015",good location and nice staff,good location”,Halim from Indonesia
Stayed 5 nights in July 2015,Business traveler,"Reviewed October 07, 2015","everything was fine, good location, good staff",best location in town”,Halim from Indonesia
Stayed 2 nights in September 2015,Business traveler,"Reviewed September 24, 2015",have a pleasant stay here for 2 nights. bed was comfortable and the location was just beside takashimaya.,enjoy my stay”,ong from Singapore
Stayed 2 nights in September 2015,Family with young children,"Reviewed September 17, 2015",Room is not clean as expected,Mandarin Orchard”,Au from Hong Kong
Stayed 2 nights in August 2015,Business traveler,"Reviewed September 13, 2015",,Orchard location”,Frederik from Indonesia
Stayed 3 nights in September 2015,Family with young children,"Reviewed September 13, 2015",,WELL LOCATED HOTEL IN ORCHARD ”,Justin from Singapore
Stayed 1 night in August 2015,Business traveler,"Reviewed September 06, 2015","Rooms are no longer well maintained, already feels over used and tired.",Feels old and tired”,Carla from Philippines
Stayed 4 nights in August 2015,Business traveler,"Reviewed September 03, 2015","Great Stay, nice and clean hotel with easy access to main shopping malls.
",Good to Stay”,Shaw from Singapore
Stayed 1 night in August 2015,Family with young children,"Reviewed September 01, 2015",Was OK but the room is old and toilet is smelly ; ),Hotel with good location for SHOPPING”,khoo from Malaysia
Stayed 2 nights in August 2015,Solo traveler,"Reviewed August 31, 2015",Good,old Hotel”,DONNY from Indonesia
Stayed 5 nights in August 2015,Family with teens,"Reviewed August 27, 2015",Rooms not ready at check in after 4 o'clock. Front desk offered smoking room instead. Staff in coffeeshop need re-training about attitude to customers.,Bad service”,Juergen from Germany
Stayed 2 nights in August 2015,Family with young children,"Reviewed August 21, 2015",It was oke... ,Location strategic”,Victor from Indonesia
Stayed 2 nights in August 2015,Family with young children,"Reviewed August 20, 2015",Good,Holiday”,Chia from Malaysia
Stayed 3 nights in August 2015,Family with teens,"Reviewed August 20, 2015",Nothing fantastic about the hotel itself but surrounding shopping convenience was the reason for choosing this hotel,5 Star Hotel But Poor Room Reservation Service”,CLARENCE from Malaysia
Stayed 5 nights in August 2015,Business traveler,"Reviewed August 19, 2015",OK,OK”,Erik from Indonesia
Stayed 1 night in August 2015,Couple,"Reviewed August 18, 2015","Undestandable with the reputation.
However room condition is definitely old.",Good location”,DongHoon from South Korea
Stayed 2 nights in December 2014,Family with young children,"Reviewed August 18, 2015",It was a good holiday. The location is just in the middle of orchard road and just few minutes walk from mrt,nice location”,Melody from Indonesia
Stayed 3 nights in June 2015,Solo traveler,"Reviewed August 17, 2015",good,good”,Liny from Laos
Stayed 3 nights in August 2015,Couple,"Reviewed August 14, 2015",the place is convenient to travel any where in Singapore; taxi is easy ans walking to all shopping area.,hotel in city centre near mount eligabeth hospital”,arun from India
Stayed 4 nights in August 2015,Family with young children,"Reviewed August 13, 2015",They were not often changing the bedsheets or willing when I asked to change bedsheets when it Was dirty with milk.,Complaint.”,Pit from Malaysia
Stayed 1 night in July 2015,Couple,"Reviewed August 02, 2015",Not to my expectation for $428 a night!,Just great location”,Anthony from Singapore
Stayed 2 nights in July 2015,Family with teens,"Reviewed July 29, 2015",Near shopping area,Great Location”,Betsy from Philippines
Stayed 4 nights in August 2014,Family with young children,"Reviewed July 27, 2015",excellent stay with good location close to shopping center,GOOD STAY AND GOOD LOCATION”,andrian from Indonesia
Stayed 4 nights in July 2015,Group,"Reviewed July 27, 2015",,ok Hotel”,Budi from Indonesia
Stayed 2 nights in June 2015,Couple,"Reviewed July 21, 2015","It's a nice hotel located in the middle of the town, easy for travelling, with clean room.",Great loacation”,Kannaset from Thailand
Stayed 2 nights in July 2015,Couple,"Reviewed July 19, 2015",food bed location,Good”,Hindra from Indonesia
Stayed 5 nights in March 2015,Solo traveler,"Reviewed July 16, 2015",adequate,Great location”,Eva from Indonesia
Stayed 3 nights in July 2015,Family with young children,"Reviewed July 15, 2015",Good time,Good location”,Vinh from Vietnam
Stayed 4 nights in July 2015,Business traveler,"Reviewed July 11, 2015",Hotel is located in the center of Orchard road and surrounded by shopping malls. ,Good Location”,FLORENCE from Indonesia
Stayed 2 nights in July 2015,Solo traveler,"Reviewed July 07, 2015",Pleasant stay. ,excellent”,Soe from Singapore
Stayed 4 nights in July 2015,Couple,"Reviewed July 07, 2015",,Godd location with courteous service”,Abel from Indonesia
Stayed 1 night in June 2015,Business traveler,"Reviewed July 01, 2015",,GOOD LOCATION ”,WAN from Malaysia
Stayed 2 nights in June 2015,Business traveler,"Reviewed June 27, 2015",It's just ok.  room needs improvement.,good location average room.”,Hayley from Philippines
Stayed 1 night in June 2015,Business traveler,"Reviewed June 27, 2015",Though web (agoda),Location”,jerry from Indonesia
Stayed 1 night in June 2015,Family with teens,"Reviewed June 25, 2015",comfortable and enjoy .,good area hotel.”,irawati from Indonesia
Stayed 1 night in June 2015,Business traveler,"Reviewed June 24, 2015",,"location, location and location”",Glen from Singapore
Stayed 3 nights in June 2015,Business traveler,"Reviewed June 19, 2015",,Good hotel”,Budi from Indonesia
Stayed 3 nights in May 2015,Couple,"Reviewed June 18, 2015",,good location”,CHIEN from Taiwan
Stayed 3 nights in May 2015,Couple,"Reviewed June 15, 2015","We have a great time coz our inttention is to had medical check up and the location si perfect
",Good location”,Rosita from Indonesia
Stayed 2 nights in June 2015,Couple,"Reviewed June 13, 2015","Very nice location, right beside the mall.  Many food stalls beside. Ideal for business , couple, and family.",Nice location”,Jocelyn from Philippines
Stayed 1 night in June 2015,Family with young children,"Reviewed June 07, 2015",The room given by the hotel is facing behind and is noisy due to the aircond compressor of the high building besides. It interrupts our sleep.,There is a noisy compressor ”,Poon from Malaysia
Stayed 1 night in May 2015,Business traveler,"Reviewed May 28, 2015","Took a Premier room as seeing the other review that the Deluxe room is old. The upgraded room is clean and spacious but a pity
the bath room does not have a bath tub.",Location is good ”,Maureen from Singapore
Stayed 3 nights in May 2015,Family with teens,"Reviewed May 27, 2015",Excellent as akways,very convinient and comfortable”,Zandra from Indonesia
Stayed 2 nights in May 2015,Family with young children,"Reviewed May 20, 2015","Room was spacious, but a bit looked tired. Very nice view from our top floor room and also spacious and clean bathroom. Just a very short way to somerset mrt station. ",Strategic location”,BILLY from Indonesia
Stayed 4 nights in October 2014,Family with teens,"Reviewed May 18, 2015",Enjoyable,Nice hotel close to everywhere”,putri from Indonesia
Stayed 3 nights in May 2015,Group,"Reviewed May 18, 2015",,Good hotel”,Budi from Indonesia
Stayed 5 nights in April 2015,Group,"Reviewed May 16, 2015","Good location,",Good location”,shelya from Indonesia
Stayed 5 nights in February 2015,Couple,"Reviewed May 15, 2015",,Good location”,Chi from Vietnam
Stayed 4 nights in May 2015,Family with young children,"Reviewed May 14, 2015",It was pleasant as always,Good stay as always”,Nandita from India
Stayed 4 nights in May 2015,Family with young children,"Reviewed May 12, 2015","Keys not working, need to change daily.
Check in and check out was fast.
Housekeeping clean room service was very bad, NOT CLEAN AT ALL!!!
",Room keys often not working”,Paulus from Indonesia
Stayed 1 night in November 2014,Family with young children,"Reviewed May 11, 2015",Very nice and the hotel location is one of the best.,One of the best hotel location”,Budianto from Indonesia
Stayed 5 nights in April 2015,Solo traveler,"Reviewed April 25, 2015","Systems are not up to date. Even though deposits has been made and informed three times, there is still no record of payment in their system. ",overcharged and there's no internal communication ”,May from Myanmar
Stayed 2 nights in April 2015,Business traveler,"Reviewed April 24, 2015","Staffs at Buffet restorant, is no good and unkind. 
",No good service at Buffet Restorant.”,Yong from South Korea
Stayed 1 night in March 2015,Couple,"Reviewed April 21, 2015",very strategically location in the middle of orchard road. superb location for shopping,superb location”,Nor from Malaysia
Stayed 3 nights in April 2015,Family with young children,"Reviewed April 18, 2015",,Good location ”,Sukrit from Thailand
Stayed 3 nights in March 2015,Solo traveler,"Reviewed April 15, 2015",My stay at the Mandarin Orchard Singapore was pleasant and comfortable. I enjoyed my stay at this hotel because of its unique location which is right in the middle of Orchard Road.,Centralised hotel in Orchard”,Elson from Singapore
Stayed 1 night in April 2015,Business traveler,"Reviewed April 14, 2015",,Location”,Yin from Malaysia
Stayed 1 night in December 2014,Family with young children,"Reviewed April 09, 2015",,the most east access hotel ever”,Henny from Indonesia
Stayed 3 nights in April 2015,Business traveler,"Reviewed April 07, 2015",,Nice hotel but poor in check in system”,Josephine from Malaysia
Stayed 1 night in March 2015,Business traveler,"Reviewed April 02, 2015",The stay was ok but not exceptional. Mandarin in jakarta was better. I was deceived by the breakfast. With Mandarin I was expecting better,Good but not exceptional”,CHARAF from France
Stayed 2 nights in September 2013,Solo traveler,"Reviewed March 31, 2015","enjoyed the closeness to all shopping malls & restaurants, especially just next to Takashimaya. ",Super good location”,Rachel from Singapore
Stayed 2 nights in January 2011,Business traveler,"Reviewed March 29, 2015",very good location. Near to shopping places. Eating places. ,Too far from dhopping”,View from Thailand
Stayed 1 night in March 2015,Family with young children,"Reviewed March 29, 2015",Stay was good agoda didnt assist us with our request,Agoda didnt give in to our request”,maribel from Philippines
Stayed 3 nights in March 2015,Family with young children,"Reviewed March 28, 2015",,Best location @ orchard”,Steven from Indonesia
Stayed 1 night in March 2015,Couple,"Reviewed March 28, 2015","Overall I had a pleasant stay. Except that some staff speaks very Singlish, hard to understand the accent.","Good, but not best”",Bryant from Indonesia
Stayed 1 night in March 2015,Couple,"Reviewed March 19, 2015","few times stay in this hotel because of the location and the excellent breakfast. 
this time got orchard wings, the shower dirty and the bed is hard. cant sleep well.",staff mistake”,ROBERTO from Indonesia
Stayed 3 nights in March 2015,Couple,"Reviewed March 19, 2015",few times stay in this hotel but never get orchard wings. The shower is a bit dirty and the bed is abit hard. ,god location ”,ROBERTO from Indonesia
Stayed 5 nights in December 2014,Family with young children,"Reviewed March 18, 2015","I was happy with the hotel, However there was a small problem.

I found 1 fly inside my toilet. Flying around my toilet bowl and I rang the receptionist.

No action for this...","Great Location, Great Hotel, Friendly Staff”",Clement from Indonesia
Stayed 3 nights in March 2015,Business traveler,"Reviewed March 14, 2015",It wasn't the greatest. The only thing great about the hotel was the location. There was a lot of tours going on with people screaming along corridors. And the rooms were not very up to standards,Very convenient location very subpar hotel”,Yuet from Malaysia
Stayed 2 nights in January 2015,Business traveler,"Reviewed March 13, 2015","Nice hotel in shopping centre, good location with nice room. 
Thank you",Nice hotel in orchard”,Frederik from Indonesia
Stayed 4 nights in March 2015,Business traveler,"Reviewed March 08, 2015",It's alright.. Great hotel.. Good room and food location ,Great hotel ”,Romi from Indonesia
Stayed 1 night in March 2015,Solo traveler,"Reviewed March 05, 2015","Good location, service & room.",Good”,Aaron from Singapore
Stayed 1 night in February 2015,Couple,"Reviewed March 02, 2015",Its one of the best locations to stay in Singapore - but the place is super busy and the staff is not always friendly / helpful,great location but very busy place”,Christian from Germany
Stayed 3 nights in September 2014,Couple,"Reviewed March 01, 2015",enjoyed my stay here. I will come back again!,Nice hotel”,leonito from Philippines
Stayed 3 nights in January 2015,Couple,"Reviewed February 16, 2015",,Great Hotel”,John from Indonesia
Stayed 2 nights in February 2015,Couple,"Reviewed February 16, 2015",,Great Location”,John from Indonesia
Stayed 1 night in November 2014,Business traveler,"Reviewed February 15, 2015",,good location hotel”,WAN from Malaysia
Stayed 2 nights in January 2015,Business traveler,"Reviewed February 13, 2015",pleasant ,Excellent location”,Han from Brunei Darussalam
Stayed 1 night in February 2015,Solo traveler,"Reviewed February 05, 2015",Good overall. But sound proofing very poor ,Good location poor room sound proofing ”,Sophia from Australia
Stayed 2 nights in January 2015,Family with young children,"Reviewed January 27, 2015",The value of the room meet to my expectation.,you get what you pay”,Mike from Indonesia
Stayed 2 nights in January 2015,Couple,"Reviewed January 27, 2015",,Great location!! The food was just okay.. ”,BOWO from Indonesia
Stayed 3 nights in December 2014,Business traveler,"Reviewed January 26, 2015",,great stay at the hotel”,Romi from Indonesia
Stayed 4 nights in November 2014,Family with young children,"Reviewed January 21, 2015",it was ok not beyond what i expected.,ok ok ok”,Yu from Philippines
Stayed 1 night in January 2015,Couple,"Reviewed January 21, 2015","The bed is very comfortable, we slept through breakfast. Good location",PLESANT STAY”,Rohani from Singapore
Stayed 5 nights in January 2015,Family with teens,"Reviewed January 14, 2015","Bed not a good quality. And rooms even the new building, the orchard wing. Don't really look like new. For the old building even worse",Rooms so standard. Nothing fancy for a 5 star. ”,Fredy from Indonesia
Stayed 2 nights in January 2015,Couple,"Reviewed January 14, 2015",Water heater is faulty.  Check-in and check out process is very slow.  We are even travelling during the peak period.,Good location but water heater is faulty. ”,Tan from Malaysia
Stayed 2 nights in December 2014,Business traveler,"Reviewed January 11, 2015",Good breakfast but too many people.,business meeting”,Hock from Malaysia
Stayed 4 nights in February 2014,Family with young children,"Reviewed January 10, 2015","It was all ok, fair room quality, the best from this hotel is the location. Located in the heart of orchard road, takashimaya shop centre just beside and paragon shop mall just  steps away",Perfect location”,laurance from Indonesia
Stayed 3 nights in January 2015,Family with young children,"Reviewed January 07, 2015",Great hotel to explore orchard road,great location and staff”,Anton from Indonesia
Stayed 1 night in December 2014,Family with young children,"Reviewed December 29, 2014","Hotel is not well maintained anymore.
Room features, bathroom, switches, furnitures are old, not well maintain/clean. 
So much different from our last stay impression.",HOTEL NOT WELL MAINTAINED ANYMORE”,silviana from Indonesia
Stayed 3 nights in December 2014,Family with young children,"Reviewed December 26, 2014",It was a great stay for us. Hope we can come back again to Singapore soon and Mandarin Orchard is definitely a great choice to stay. ,"Location, Near to MRT and shopping areas”",Hajjah from Brunei Darussalam
Stayed 6 nights in March 2014,Family with young children,"Reviewed December 24, 2014",very pleasant stay but so crowded at the reception,orchard road!!”,Fraziel from Malaysia
Stayed 1 night in December 2014,Business traveler,"Reviewed December 22, 2014",No value for money especially staff kindness at buffet restorant.,Buffet is  not good”,Yong from South Korea
Stayed 2 nights in December 2014,Family with young children,"Reviewed December 14, 2014","Confortable bed, check in - out are fast, on time, staffs with smilling face",Great location”,NU from Vietnam
Stayed 3 nights in December 2014,Family with young children,"Reviewed December 09, 2014",It was comfortable. Staff are friendly too.,Good location and accessible to shopping malls”,WEE from Singapore
Stayed 2 nights in November 2014,Couple,"Reviewed December 04, 2014",Fantastic,Good”,Aziaan from Malaysia
Stayed 1 night in November 2014,Business traveler,"Reviewed November 24, 2014",,Good location poor service. ”,Lim from Malaysia
Stayed 2 nights in January 2014,Business traveler,"Reviewed November 22, 2014",Not a great stay rooms were absolutely not clean,Did not enjoy the stay”,Sunil from India
Stayed 4 nights in November 2014,Couple,"Reviewed November 15, 2014",Still good during my stay,Hotel for shopping”,Martiny from Indonesia
Stayed 2 nights in October 2014,Couple,"Reviewed November 11, 2014",The room are cleans and the staff are very nice. It's very near to shopping.,Shopping ”,NAY from Myanmar
Stayed 2 nights in October 2014,Couple,"Reviewed November 09, 2014",very convenience hotel in middle of the town,In town hotel”,Kannaset from Thailand
Stayed 1 night in October 2014,Business traveler,"Reviewed November 06, 2014",Good stay,"Great location, luxury & comfortable”",Moi from Malaysia
